grouping,terminal,service,name,lloyds_id,vsl_operator,status,vessel_id,in_voyage,out_voyage,eta_date,eta_time,ata_date,ata_time,etd_date,etd_time,atd_date,atd_time,berth,vessel_class,dry_brd_date,dry_brd_time,reefer_brd_date,reefer_brd_time,reefer_cutoff_date,reefer_cutoff_time,cargo_cutoff_date,cargo_cutoff_time,haz_cutoff_date,haz_cutoff_time,at_anchor_date,at_anchor_time,is_locked,is_checked_in,lines[0].lname,lines[0].dry_brd_date,lines[0].dry_brd_time,lines[0].reefer_brd_date,lines[0].reefer_brd_time,lines[0].reefer_cutoff_date,lines[0].reefer_cutoff_time,lines[0].cargo_cutoff_date,lines[0].cargo_cutoff_time,lines[0].haz_cutoff_date,lines[0].haz_cutoff_time,lines[1].lname,lines[1].dry_brd_date,lines[1].dry_brd_time,lines[1].reefer_brd_date,lines[1].reefer_brd_time,lines[1].reefer_cutoff_date,lines[1].reefer_cutoff_time,lines[1].cargo_cutoff_date,lines[1].cargo_cutoff_time,lines[1].haz_cutoff_date,lines[1].haz_cutoff_time
Vessel To Come,OT,RTWNB,CMA CGM ABU DHABI,9802499,CMA CGM,INBOUND,CMND,RPM3N,RPM3N, 08/19/26,19:00,,, 08/20/26,06:00,,,, -, 08/11/26,17:01, 08/11/26,17:01, 08/18/26,16:00, 08/18/26,16:00, 08/18/26,16:00,,,Yes,,APL (APL LIMITED), 08/11/26,17:01, 08/12/26,17:01, 08/18/26,16:00, 08/18/26,16:00, 08/18/26,16:00,CMA CGM, 08/11/26,17:01, 08/12/26,17:01, 08/18/26,16:00, 08/18/26,16:00, 08/18/26,16:00
Vessel To Come,OT,SAE,LUCIE SCHULTE,9301926,SEALAND,INBOUND,SLLS,634S,634S, 08/20/26,19:00,,, 08/21/26,06:00,,,, -, 08/12/26,17:01, 08/12/26,17:01, 08/19/26,16:00, 08/19/26,16:00, 08/19/26,16:00,,,Yes,,MAERSK, 08/12/26,17:01, 08/12/26,17:01, 08/19/26,16:00, 08/19/26,16:00, 08/19/26,16:00,,,,,,,,,,,
Vessel To Come,OT,NAE ACX,POLAR COSTA RICA,9786786,SEALAND,INBOUND,SLPC,632N,634S, 08/21/26,13:00,,, 08/22/26,18:00,,,, -, 08/13/26,17:01, 08/13/26,17:01, 08/20/26,16:00, 08/20/26,16:00, 08/20/26,16:00,,,Yes,,HAPAG LLOYD, 08/13/26,17:01, 08/13/26,17:01, 08/20/26,16:00, 08/20/26,16:00, 08/20/26,16:00,MAERSK, 08/13/26,17:01, 08/13/26,17:01, 08/20/26,16:00, 08/20/26,16:00, 08/20/26,16:00
Vessel To Come,OT,RTWNB,CMA CGM ORANGE,9690092,CMA CGM,INBOUND,CMSO,RPM5N,RPM5N, 08/26/26,07:00,,, 08/26/26,18:00,,,, -, 08/18/26,17:01, 08/18/26,17:01, 08/25/26,16:00, 08/25/26,16:00, 08/25/26,16:00,,,Yes,,CMA CGM, 08/18/26,17:01, 08/19/26,17:01, 08/25/26,16:00, 08/25/26,16:00, 08/25/26,16:00,,,,,,,,,,,
Vessel To Come,OT,SAE,MARGARETE SCHULTE,9302944,SEALAND,INBOUND,MKSC,635S,635S, 08/27/26,19:00,,, 08/28/26,06:00,,,, -, 08/19/26,17:01, 08/19/26,17:01, 08/26/26,16:00, 08/26/26,16:00, 08/26/26,16:00,,,Tomorrow,,MAERSK, 08/19/26,17:01, 08/19/26,17:01, 08/26/26,16:00, 08/26/26,16:00, 08/26/26,16:00,,,,,,,,,,,
Vessel To Come,OT,NAE ACX,POLAR MEXICO,9786750,SEALAND,INBOUND,SLPO,633N,635S, 08/28/26,13:00,,, 08/29/26,18:00,,,, -, 08/20/26,17:01, 08/20/26,17:01, 08/27/26,16:00, 08/27/26,16:00, 08/27/26,16:00,,,No,,HAPAG LLOYD, 08/20/26,17:01, 08/20/26,17:01, 08/27/26,16:00, 08/27/26,16:00, 08/27/26,16:00,MAERSK, 08/20/26,17:01, 08/20/26,17:01, 08/27/26,16:00, 08/27/26,16:00, 08/27/26,16:00
Vessel To Come,OT,RTWNB,MAGDALENA SCHULTE,9743502,CMA CGM,INBOUND,CMML,RPM7N,RPM7N, 09/02/26,07:00,,, 09/02/26,18:00,,,, -, 08/25/26,17:01, 08/25/26,17:01, 09/01/26,16:00, 09/01/26,16:00, 09/01/26,16:00,,,No,,CMA CGM, 08/25/26,17:01, 08/26/26,17:01, 09/01/26,16:00, 09/01/26,16:00, 09/01/26,16:00,,,,,,,,,,,
Vessel To Come,OT,SAE,SEASPAN LIMA,9386005,SEALAND,INBOUND,MKIM,636S,636S, 09/03/26,19:00,,, 09/04/26,06:00,,,, -, 08/26/26,17:01, 08/26/26,17:01, 09/02/26,16:00, 09/02/26,16:00, 09/02/26,16:00,,,No,,MAERSK, 08/26/26,17:01, 08/26/26,17:01, 09/02/26,16:00, 09/02/26,16:00, 09/02/26,16:00,,,,,,,,,,,
Vessel To Come,OT,RTWNB,NORDAMELIA,9724958,CMA CGM,INBOUND,CMLI,RPMDN,RPMDN, 09/09/26,08:00,,, 09/09/26,18:00,,,, -, 09/01/26,17:01, 09/01/26,17:01, 09/08/26,16:00, 09/08/26,16:00, 09/08/26,16:00,,,No,,CMA CGM, 09/01/26,17:01, 09/02/26,17:01, 09/08/26,16:00, 09/08/26,16:00, 09/08/26,16:00,,,,,,,,,,,
Vessel To Come,OT,SAE,MAX SCHULTE,9676711,MAERSK,INBOUND,HAMX,637S,637S, 09/10/26,19:00,,, 09/11/26,06:00,,,, -, 09/02/26,17:01, 09/02/26,17:01, 09/09/26,16:00, 09/09/26,16:00, 09/09/26,16:00,,,No,,MAERSK, 09/02/26,17:01, 09/02/26,17:01, 09/09/26,16:00, 09/09/26,16:00, 09/09/26,16:00,,,,,,,,,,,
